Stress1,Stress1Ex,Stress2,Stress2Ex,Stress3,Stress3Ex,Strategy1,Strategy2,Strategy3
School,Being a college student is stressful because of midterms and finals.,Work,Meeting customer demands can be stressful because they are very particular and sometimes it is impossible to meet their criteria.,Health,Constantly being sick is stressful becasue I always have to go in and out of the doctors office.,I study for my exams as much as possible. ,"I always try to find alternatives for the customer therfore at least being able to offer them a solution, and reduce my stress.",I fo to the doctor and take medications.
School,My graduate education takes quite a bit of time and energy,Work,The maintenance guy I work with makes me feel unsafe,Money,I am poor because I am a social worker,Time management,Talk to site leadership,Manage money
career,the pressure to advance in my career,family,living up to family expectations,romantic relationship,wondering what will happen with a romantic relationship,focus on the now. ,communicate with loved ones more. ,take my mind off it.
emotional stress,causes due to one sided affection and many other factors ,physical stress,over time of working ,acute stress,causes due to emotional distress,dont expect anything from anyone,take rest ,practice mediation
mental Stress,Lot of work load,Physical Stress,Lack of exercise,Emotional stress,Lack of social life,I plan my work,I play games,I meet New people
Money,Having enough money to pay bills,Job,Finding/keeping a job that fits my skills and pays enough to live on,Social anxiety,"Wanting to socialize, but not wanting to act like an idiot or be seen as a fool",I participate in an outdoor sport that I like a lot,Watch movies that are enjoyable,Relax at the beach
My husband has been unemployed/underemployed for 4 years,We often don't have enough income to pay the bills,We have a child with autism,Caring for a special needs child is mentally exhausting,I work 2 part-time jobs and M-turk to bring in income,I am tired and dont have much time to relax,I work harder at my jobs,We pray a lot and seek help from friends,Try to enjoy my work
money,making sure there is always enough money to pay the bills is stressful,health,wondering if I get sick is stressful,work,"dealing with different personalities,  every day, is stressful",i make sure I safe enough money for a rainy day,I try to eat healthy and work out and take vitamins,I do breathing exercises when I have quiet moment
Falling sick,"If I fall sick, it disrupts my daily routine. ",Time delays,Spending 3 hours waiting for the doctor during a regular appointment,Traffic delays,Spending hours on the road due to heavy traffic is stressful,I try to keep myself healthy as much as I can. ,I practice mindful meditation while waiting for the doctor.,I listen to music to keep me calm. 
Unexpected bills,"Depending on amount due, it may make the finances tight",Severe weather,Severe weather is always a threat where I live and can ruin lives,Kids,2 year olds can test your patience,Find ways to either save money or make a little extra money,Don't listen to local news who hype up severe weather season,Remember how special kids really are
finances,managing money,future,worry,weight,losing weight,budget better,faith,diet
Marriage,"General disagreements about sex,money, kids, etc.",Parenting,I have 5 kids...that can be stressful at times.,schedule,Getting everything done and every person where they need to be when they need to be there.,prayer,prayer,prayer
Finances,It is a struggle to cover all our needs each month now as prices and costs steadily go up and our income doesn't.,My husband's health,My husband is disabled and I am his full-time carer. ,My own health,I am nor getting any younger and I am getting somewhat overwhelmed by having to do everything with no help.,"Try to earn extra money a bit here and there, and try to be clever managing our household, making a lot of things and doing much the old timey way.","I go to bed early and try to use the time after 10 pm as my own, to rest and read and restore my energy.","Same as above, I take some time for myself as many evenings as i can to read and rest and also spend in prayer."
